spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
roads,confusion,hesitation,negative,201312_113.8574523_22.571860800000003.png
fences,disorganization,avoidance,negative,201312_113.8574523_22.571860800000003.png
construction,unfinished feeling,disengagement,negative,201312_113.8574523_22.571860800000003.png
road,sense of order,navigating efficiently,positive,201312_113.85980904184744_22.648029621847705.png
buildings,feeling of organization,engaging with the environment,positive,201312_113.85980904184744_22.648029621847705.png
streetlights,sense of safety,walking at night,positive,201312_113.85980904184744_22.648029621847705.png
signage,clarity of direction,following directions,positive,201312_113.85980904184744_22.648029621847705.png
road,somewhat organized,navigate effectively,positive,201312_113.876258209507_22.67064777876147.png
greenery,sense of order,enjoy surroundings,positive,201312_113.876258209507_22.67064777876147.png
poles,detracts from order,feel discomfort,negative,201312_113.876258209507_22.67064777876147.png
wires,disruption of integration,avoidance,negative,201312_113.876258209507_22.67064777876147.png
environment,lack of proper place,feel unsettled,negative,201312_113.876258209507_22.67064777876147.png
buildings,sense of disorder,low engagement,negative,201312_113.860416_22.5694392.png
street,lack of visual order,avoidance,negative,201312_113.860416_22.5694392.png
shops,obscured organization,disinterest,negative,201312_113.860416_22.5694392.png
street,somewhat organized,navigate effectively,positive,201312_113.8659038_22.605222400000002.png
buildings,detracts from organization,feel disoriented,negative,201312_113.8659038_22.605222400000002.png
traffic signals,indicates functional order,cross safely,positive,201312_113.8659038_22.605222400000002.png
intersection,general busyness,hesitate to cross,negative,201312_113.8659038_22.605222400000002.png
road,clear organization,navigating efficiently,positive,201312_113.88293720000001_22.8212419.png
lanes,defined structure,following traffic rules,positive,201312_113.88293720000001_22.8212419.png
guardrails,sense of safety,driving confidently,positive,201312_113.88293720000001_22.8212419.png
signs,guidance,making informed decisions,positive,201312_113.88293720000001_22.8212419.png
vegetation,aesthetic appeal,enjoying the scenery,positive,201312_113.88293720000001_22.8212419.png
roads,sense of order,understanding space functionality,positive,201312_113.8877873_22.674002400000003.png
sidewalks,predictability,navigating the environment,positive,201312_113.8877873_22.674002400000003.png
buildings,coherence,engaging with surroundings,positive,201312_113.8877873_22.674002400000003.png
traffic signals,organized environment,following traffic rules,positive,201312_113.8877873_22.674002400000003.png
road markings,clarity,safe navigation,positive,201312_113.8877873_22.674002400000003.png
vehicles,orderliness,movement coordination,positive,201312_113.8877873_22.674002400000003.png
street,sense of order,navigate effectively,positive,201312_113.8844253_22.668941099999998.png
buildings,structured chaos,explore commercial options,neutral,201312_113.8844253_22.668941099999998.png
crosswalk,safety awareness,cross the street,positive,201312_113.8844253_22.668941099999998.png
signs,information overload,make decisions,negative,201312_113.8844253_22.668941099999998.png
buildings,sense of order,navigate effectively,positive,201312_113.8966185193665_22.67673893440902.png
road,functional organization,move with purpose,positive,201312_113.8966185193665_22.67673893440902.png
vehicles,cluttered environment,avoid congestion,negative,201312_113.8966185193665_22.67673893440902.png
construction,distraction from order,navigate around obstacles,negative,201312_113.8966185193665_22.67673893440902.png
open areas,lack of organization,seek more structured spaces,negative,201312_113.8966185193665_22.67673893440902.png
trees,somewhat organized environment,encourages exploration,positive,201312_113.9001954_22.673202699999997.png
buildings,planned space,promotes navigation,positive,201312_113.9001954_22.673202699999997.png
roads,functional layout,facilitates movement,positive,201312_113.9001954_22.673202699999997.png
greenery,integrated natural elements,invites relaxation,positive,201312_113.9001954_22.673202699999997.png
service station,not intuitively organized,creates confusion,negative,201312_113.9001954_22.673202699999997.png
highway,clear order and organization,ease of navigation,positive,201312_113.89200644069061_22.81193671333176.png
lanes,logical pattern,following traffic rules,positive,201312_113.89200644069061_22.81193671333176.png
guardrails,sense of safety,confidence in driving,positive,201312_113.89200644069061_22.81193671333176.png
street lamps,visibility at night,increased awareness,positive,201312_113.89200644069061_22.81193671333176.png
road,sense of order,easy navigation,positive,201312_113.9104919_22.707616799999997.png
walkway,logical integration,encouraged walking,positive,201312_113.9104919_22.707616799999997.png
overpass,clear definition,safe crossing,positive,201312_113.9104919_22.707616799999997.png
paths,understanding spatial relationships,efficient movement,positive,201312_113.9104919_22.707616799999997.png
highway,moderate sense of coherence,understanding and predictability,positive,201312_113.9201526_22.757344299999996.png
lanes,clear order,safe navigation,positive,201312_113.9201526_22.757344299999996.png
guardrails,sense of security,confidence in travel,positive,201312_113.9201526_22.757344299999996.png
streetlights,visibility,increased awareness,positive,201312_113.9201526_22.757344299999996.png
landscaping,functional aesthetic,appreciation of environment,neutral,201312_113.9201526_22.757344299999996.png
highway,organized and functional,navigate efficiently,positive,201312_113.92843742482079_22.742538568001862.png
lanes,clear and defined,follow traffic rules,positive,201312_113.92843742482079_22.742538568001862.png
barriers,safe and secure,reduce accidents,positive,201312_113.92843742482079_22.742538568001862.png
elements,coherent visual experience,enjoy surroundings,positive,201312_113.92843742482079_22.742538568001862.png
landscape,fit for purpose,utilize space effectively,positive,201312_113.92843742482079_22.742538568001862.png
trees,sense of uniformity,encourages walking,positive,201312_113.89281280000002_22.556411099999995.png
road,sense of organization,promotes navigation,positive,201312_113.89281280000002_22.556411099999995.png
bridge,feeling of connectivity,facilitates crossing,positive,201312_113.89281280000002_22.556411099999995.png
railings,sense of safety,encourages use of pathways,positive,201312_113.89281280000002_22.556411099999995.png
buildings,perception of structure,influences gathering,positive,201312_113.89281280000002_22.556411099999995.png
fields,clear structure,engagement with nature,positive,201312_113.9319524_22.7820153.png
environment,disorganization,avoidance of spaces,negative,201312_113.9319524_22.7820153.png
transition,abruptness,discomfort in movement,negative,201312_113.9319524_22.7820153.png
organization,lack of coherence,reduced exploration,negative,201312_113.9319524_22.7820153.png
intersection,moderately high coherence,navigate effectively,positive,201312_113.9332992_22.683222899999997.png
layout,well-organized environment,feel safe,positive,201312_113.9332992_22.683222899999997.png
buildings,orderly arrangement,engage with surroundings,positive,201312_113.9332992_22.683222899999997.png
traffic,functional design,follow traffic rules,positive,201312_113.9332992_22.683222899999997.png
markings,clear structure,cross streets confidently,positive,201312_113.9332992_22.683222899999997.png
street,sense of order,navigate easily,positive,201312_113.92896073426577_22.788379996341252.png
buildings,coherent environment,feel secure,positive,201312_113.92896073426577_22.788379996341252.png
greenery,logical arrangement,enjoy surroundings,positive,201312_113.92896073426577_22.788379996341252.png
materials,chaotic environment,avoidance of space,negative,201312_113.93568964381272_22.79704532316997.png
barricades,disrupted order,hesitation to enter,negative,201312_113.93568964381272_22.79704532316997.png
road,lack of structure,confusion in navigation,negative,201312_113.93568964381272_22.79704532316997.png
street,moderate coherence,navigate effectively,positive,201312_113.93225513663295_22.67354575658441.png
buildings,understandable arrangement,feel secure,positive,201312_113.93225513663295_22.67354575658441.png
sidewalks,organized structure,walk safely,positive,201312_113.93225513663295_22.67354575658441.png
crosswalks,functional layout,cross streets,positive,201312_113.93225513663295_22.67354575658441.png
traffic,defined lanes,drive orderly,positive,201312_113.93225513663295_22.67354575658441.png
buildings,disorganized impression,difficulty in navigation,negative,201312_113.93280873958427_22.797684582528913.png
debris,fragmented perception,lack of engagement,negative,201312_113.93280873958427_22.797684582528913.png
infrastructure,lack of coherence,disinterest in the environment,negative,201312_113.93280873958427_22.797684582528913.png
buildings,disordered visual impression,difficulty in navigation,negative,201312_113.93289859477152_22.800449818195553.png
materials,lack of organizational logic,disengagement,negative,201312_113.93289859477152_22.800449818195553.png
structures,low coherence,avoidance of the area,negative,201312_113.93289859477152_22.800449818195553.png
roads,sense of order,navigate easily,positive,201312_113.940145_22.6708651.png
